,Instrument,Date,Price Open,Price High,Price Low,Price Close,Volume
0,GOOGL.O,2015-12-31T00:00:00Z,787.82,788.33,777.32,778.01,1637561
1,GOOGL.O,2016-01-04T00:00:00Z,762.2,762.2,747.54,759.44,3369068
2,GOOGL.O,2016-01-05T00:00:00Z,764.1,769.2,755.65,761.53,2260795
3,GOOGL.O,2016-01-06T00:00:00Z,750.37,765.73,748.0,759.33,2410301
4,GOOGL.O,2016-01-07T00:00:00Z,746.49,755.31,735.28,741.0,3156563
5,GOOGL.O,2016-01-08T00:00:00Z,747.8,750.12,728.9201,730.91,2375348
6,GOOGL.O,2016-01-11T00:00:00Z,731.95,735.08,719.56,733.07,2544806
7,GOOGL.O,2016-01-12T00:00:00Z,740.75,748.34,736.43,745.34,2340753
8,GOOGL.O,2016-01-13T00:00:00Z,749.34,753.0,716.78,719.57,2586395
9,GOOGL.O,2016-01-14T00:00:00Z,724.44,739.89,705.0,731.39,2777868
10,GOOGL.O,2016-01-15T00:00:00Z,709.99,724.158,701.51,710.49,3833751
11,GOOGL.O,2016-01-19T00:00:00Z,720.15,725.35,709.85,719.08,2436220
12,GOOGL.O,2016-01-20T00:00:00Z,705.9,726.95,687.78,718.56,4122010
13,GOOGL.O,2016-01-21T00:00:00Z,720.17,737.67,711.11,726.67,2596916
14,GOOGL.O,2016-01-22T00:00:00Z,742.0,748.56,740.5,745.46,2357315
15,GOOGL.O,2016-01-25T00:00:00Z,743.84,752.46,732.5010000000001,733.62,2267031
16,GOOGL.O,2016-01-26T00:00:00Z,735.21,739.46,726.97,733.79,1547049
17,GOOGL.O,2016-01-27T00:00:00Z,735.89,735.89,713.45,717.58,2121434
18,GOOGL.O,2016-01-28T00:00:00Z,738.19,751.16,730.6,748.3,3105222
19,GOOGL.O,2016-01-29T00:00:00Z,748.96,765.105,744.2,761.35,3790395
20,GOOGL.O,2016-02-01T00:00:00Z,771.26,777.59,761.38,770.77,5576089
21,GOOGL.O,2016-02-02T00:00:00Z,800.5,810.35,780.6,780.91,6792331
22,GOOGL.O,2016-02-03T00:00:00Z,786.28,791.43,736.26,749.38,6555731
23,GOOGL.O,2016-02-04T00:00:00Z,744.59,745.24,722.6001,730.03,5246123
24,GOOGL.O,2016-02-05T00:00:00Z,725.5,726.72,700.14,703.76,5477821
25,GOOGL.O,2016-02-08T00:00:00Z,687.68,704.52,682.01,704.16,4470514
26,GOOGL.O,2016-02-09T00:00:00Z,692.95,720.96,688.5,701.02,4214950
27,GOOGL.O,2016-02-10T00:00:00Z,711.79,723.22,705.39,706.85,3015733
28,GOOGL.O,2016-02-11T00:00:00Z,696.34,712.315,691.19,706.36,3250206
29,GOOGL.O,2016-02-12T00:00:00Z,712.21,716.0,701.58,706.89,2326889
30,GOOGL.O,2016-02-16T00:00:00Z,718.65,722.8789,710.18,717.64,2172213
31,GOOGL.O,2016-02-17T00:00:00Z,727.0,733.76,716.61,731.97,2457715
32,GOOGL.O,2016-02-18T00:00:00Z,733.96,736.0,715.55,717.51,2363846
33,GOOGL.O,2016-02-19T00:00:00Z,715.9,724.03,713.12,722.11,1745940
34,GOOGL.O,2016-02-22T00:00:00Z,729.51,734.845,723.45,729.05,1875824
35,GOOGL.O,2016-02-23T00:00:00Z,726.1,730.9,715.67,717.29,2066566
36,GOOGL.O,2016-02-24T00:00:00Z,710.61,721.22,702.02,720.9,1854612
37,GOOGL.O,2016-02-25T00:00:00Z,722.93,729.51,713.23,729.12,1807258
38,GOOGL.O,2016-02-26T00:00:00Z,733.6,736.16,721.9392,724.86,2123690
39,GOOGL.O,2016-02-29T00:00:00Z,721.0,730.6,716.84,717.22,2253426
40,GOOGL.O,2016-03-01T00:00:00Z,721.3,742.33,718.64,742.17,3005553
