,MKT_Index,SMB_Index,HML_Index,RF_Index,MKT-RF,SMB,HML,RF
19230630,100,100,100,100,0,0,0,0
19260701,100.1,99.77,99.72,100.009,0.1,-0.23,-0.28,0.009
19260702,100.55045,99.430782,99.690084,100.0180008,0.45,-0.34,-0.03,0.009
19260706,100.7213858,99.71913127,99.31126168,100.0270024,0.17,0.29,-0.38,0.009
19260707,100.812035,99.13078839,99.31126168,100.0360049,0.09,-0.59,0,0.009
19260708,101.0237403,98.7540914,99.49002195,100.0450081,0.21,-0.38,0.18,0.009
19260709,100.3064717,99.1886094,100.0670641,100.0540122,-0.71,0.44,0.58,0.009
19260710,100.9283719,98.67282863,99.9369769,100.063017,0.62,-0.52,-0.13,0.009
19260712,100.9687432,98.70243048,100.5066177,100.0720227,0.04,0.03,0.57,0.009
19260713,101.4533932,98.4556744,100.2553511,100.0810292,0.48,-0.25,-0.25,0.009
19260714,101.4939745,98.57382121,99.74404883,100.0900365,0.04,0.12,-0.51,0.009
19260715,101.0575504,99.05683294,99.50466311,100.0990446,-0.43,0.49,-0.24,0.009
19260716,101.5931555,99.05683294,98.947437,100.1080535,0.53,0,-0.56,0.009
19260717,101.9385722,99.51249437,98.30427866,100.1170632,0.34,0.46,-0.65,0.009
19260719,101.9283783,99.48264062,97.88157026,100.1260737,-0.01,-0.03,-0.43,0.009
19260720,101.3473866,99.23393402,98.06754524,100.1350851,-0.57,-0.25,0.19,0.009
19260721,100.7393023,99.44232528,98.34213437,100.1440972,-0.6,0.21,0.28,0.009
19260722,100.0039053,99.12410984,98.2142896,100.1531102,-0.73,-0.32,-0.13,0.009
19260723,99.98390456,99.21332154,98.25357531,100.162124,-0.02,0.09,0.04,0.009
19260724,99.8439271,99.64986015,98.19462317,100.1711386,-0.14,0.44,-0.06,0.009
19260726,100.3730999,99.31105063,97.90985876,100.180154,0.53,-0.34,-0.29,0.009
19260727,100.8047042,98.8641509,98.16442439,100.1891702,0.43,-0.45,0.26,0.009
19260728,101.9034755,98.91358298,97.87974756,100.1981872,1.09,0.05,-0.29,0.009
19260729,102.270328,98.28053604,96.92052603,100.2072051,0.36,-0.64,-0.98,0.009
19260730,102.4135065,97.82844558,97.44389688,100.2162237,0.14,-0.46,0.54,0.009
19260731,102.8846086,97.69148575,97.30747542,100.2252432,0.46,-0.14,-0.14,0.009
19260802,103.7488393,97.45702619,97.30747542,100.2352657,0.84,-0.24,0,0.01
19260803,104.2364589,97.22312933,96.67497683,100.2452892,0.47,-0.24,-0.65,0.01
19260804,103.8612076,97.34951939,96.96500176,100.2553137,-0.36,0.13,0.3,0.01
19260805,103.7677325,97.3689893,97.67284627,100.2653393,-0.09,0.02,0.73,0.01
19260806,104.4733531,97.43714759,97.83889011,100.2753658,0.68,0.07,0.17,0.01
19260807,104.9539305,97.52484102,97.584509,100.2853933,0.46,0.09,-0.26,0.01
19260809,105.1743338,97.44682115,97.36006463,100.2954219,0.21,-0.08,-0.23,0.01
19260810,103.7018931,97.79762971,97.55478476,100.3054514,-1.4,0.36,0.2,0.01
19260811,103.1107923,97.97366544,97.8962265,100.315482,-0.57,0.18,0.35,0.01
19260812,103.976923,97.20947085,98.30739065,100.3255135,0.84,-0.78,0.42,0.01
